median,min,max,overlap,idx
45,44,70,0.99702,1
45,44,68,0.99739,1
45,44,66,0.99625,1
45,44,69,0.99661,1
45,44,62,0.99686,1
45,44,71,0.9979,1
45,44,67,0.99502,1
45,44,67,0.99748,1
45,44,67,0.99693,1
45,44,68,0.9983,1
45,44,65,0.99587,1
45,44,66,0.99709,1
45,44,66,0.99785,1
45,44,70,0.99607,1
45,44,70,0.99441,1
45,44,72,0.99575,1
45,44,68,0.9966,1
45,44,66,0.99745,1
45,44,68,0.99783,1
45,44,71,0.99687,1
45,44,66,0.9966,1
45,44,70,0.99701,1
45,44,68,0.9976,1
45,44,71,0.99711,1
45,44,66,0.99422,1
45,44,71,0.99666,1
45,44,66,0.99624,1
45,44,71,0.99618,1
45,44,75,0.99708,1
45,44,67,0.99735,1
45,44,66,0.99803,1
45,44,67,0.9956,1
45,44,67,0.99413,1
45,44,66,0.99518,1
45,44,71,0.99572,1
45,44,69,0.99749,1
45,44,69,0.9955,1
45,44,67,0.99769,1
45,44,67,0.99651,1
45,44,67,0.99626,1
45,44,67,0.99514,1
45,44,65,0.9977,1
45,44,67,0.99605,1
45,44,66,0.99842,1
45,44,66,0.9972,1
45,44,68,0.9952,1
45,44,67,0.99425,1
45,44,66,0.99599,1
45,44,68,0.99698,1
45,44,68,0.99548,1
45,44,72,0.99645,1
45,44,67,0.99593,1
45,44,67,0.99835,1
45,44,68,0.99766,1
45,44,65,0.99636,1
45,44,67,0.99811,1
45,44,70,0.99487,1
45,44,68,0.9963,1
45,44,66,0.99625,1
45,44,77,0.99645,1
45,44,68,0.99425,1
45,44,67,0.99545,1
45,44,68,0.99687,1
45,44,67,0.99827,1
45,44,65,0.99489,1
45,44,67,0.99551,1
45,44,69,0.99444,1
45,44,67,0.9958,1
45,44,66,0.99675,1
45,44,72,0.99767,1
45,44,65,0.99533,1
45,44,66,0.99613,1
45,44,66,0.9965,1
45,44,72,0.99721,1
45,44,70,0.99679,1
45,44,67,0.99661,1
45,44,67,0.99768,1
45,44,64,0.99535,1
45,44,69,0.99537,1
45,44,68,0.99781,1
45,44,68,0.9969,1
45,44,71,0.99648,1
45,44,66,0.99425,1
45,44,70,0.99396,1
45,44,66,0.99678,1
45,44,68,0.99632,1
45,43,67,0.97219,2
45,42,71,0.94586,2
45,42,67,0.94602,2
45,42,68,0.94873,2
45,42,67,0.94804,2
45,42,70,0.95512,2
45,42,70,0.94699,2
45,42,67,0.947,2
45,42,66,0.9488,2
45,42,66,0.94664,2
45,42,68,0.95099,2
45,42,64,0.94716,2
45,42,64,0.94959,2
45,42,67,0.95817,2
45,42,69,0.94713,2
45,43,68,0.97099,2
45,42,69,0.95478,2
45,42,70,0.95472,2
45,42,69,0.94643,2
45,42,66,0.94746,2
45,42,66,0.97509,2
45,42,68,0.94825,2
45,42,67,0.9485,2
45,42,67,0.9592,2
45,42,70,0.94753,2
45,42,70,0.94718,2
45,42,70,0.96497,2
45,43,68,0.97308,2
45,42,66,0.946,2
45,42,66,0.94851,2
45,42,68,0.94769,2
45,43,67,0.97035,2
45,42,68,0.96761,2
45,42,70,0.94783,2
45,43,70,0.97244,2
45,42,65,0.97801,2
45,42,69,0.94732,2
45,43,67,0.97248,2
45,42,71,0.94686,2
45,42,67,0.96346,2
45,42,69,0.96833,2
45,42,68,0.95456,2
45,42,72,0.95818,2
45,42,68,0.99099,2
45,42,65,0.94927,2
45,42,65,0.95104,2
45,42,66,0.94854,2
45,42,64,0.94799,2
45,42,69,0.95074,2
45,43,67,0.97261,2
45,42,67,0.9674,2
45,43,67,0.97219,2
45,42,71,0.95042,2
45,42,69,0.94816,2
45,42,68,0.95533,2
45,43,68,0.97852,2
45,42,66,0.94631,2
45,42,67,0.94814,2
45,42,68,0.95096,2
45,42,65,0.94825,2
45,42,66,0.94708,2
45,42,65,0.94484,2
45,43,67,0.97018,2
45,42,68,0.94679,2
45,42,68,0.94654,2
45,42,70,0.95037,2
45,42,67,0.9477,2
45,42,67,0.98646,2
45,42,72,0.94705,2
